Country,Size,GSN area (1000 ha),GSN target,Protection level (0-10),Color
Sao Tome & Principe,Small,104,0.99,3,38651c
Norfolk Island,Small,4,0.99,3,38651c
Dominica,Small,80,0.99,2,38651c
Guam,Small,57,0.99,2,38651c
Palau,Small,48,0.99,2,38651c
Antigua & Barbuda,Small,28,0.99,2,38651c
Grenada,Small,35,0.99,1,38651c
Barbados,Small,47,0.99,0,38651c
Pitcairn Islands,Small,4,0.98,8,38651c
Saint Lucia,Small,59,0.97,2,38651c
Heard & McDonald Islands,Small,38,0.96,10,38651c
Saint Vincent & the Grenadines,Small,36,0.96,2,38651c
Suriname,Medium,13929,0.953453351,2,487325
Guyana,Medium,19416,0.913221391,1,487325
Equatorial Guinea,Medium,2443,0.909869646,2,487325
Hong Kong S.A.R.,Small,93,0.89,4,537b28
Cayman Islands,Small,27,0.88,1,537b28
Federated States of Micronesia,Small,56,0.88,0,537b28
Solomon Islands,Medium,2387,0.872122762,0,537b28
Comoros,Small,203,0.87,1,537b28
French Polynesia,Small,294,0.87,0,537b28
Gabon,Large,22529,0.860805441,3,537b28
Brunei,Small,486,0.84,5,5f842b
Saint Helena,Small,31,0.84,4,5f842b
Republic of Congo,Large,29046,0.836578341,5,5f842b
Papua New Guinea,Large,38550,0.823348497,0,5f842b
New Caledonia,Medium,1559,0.82,7,5f842b
Canada,Large,807285,0.814079306,1,5f842b
Jamaica,Medium,891,0.8,2,6b8c2e
Vanuatu,Medium,963,0.78,1,6b8c2e
Australia,Large,586207,0.759022838,3,6b8c2e
Bhutan,Medium,3066,0.756663376,6,6b8c2e
Slovenia,Medium,1520,0.748031496,7,779431
British Indian Ocean Territory,Small,4,0.74,10,779431
Trinidad & Tobago,Small,376,0.73,4,779431
Ecuador,Large,18550,0.722548981,3,779431
Russia,Large,1210378,0.716331822,1,779431
Iceland,Medium,7282,0.714271702,3,779431
Puerto Rico,Small,644,0.71,1,779431
Costa Rica,Medium,3649,0.708956674,4,779431
Botswana,Large,41014,0.704925922,4,829d34
Venezuela,Large,64486,0.701987764,8,829d34
Colombia,Large,79606,0.696678773,2,829d34
U.S. Virgin Islands,Small,25,0.69,2,829d34
Panama,Medium,5126,0.68337555,3,829d34
Fiji,Medium,1302,0.68,1,829d34
Malaysia,Large,22360,0.67743206,3,829d34
Belize,Medium,1505,0.67,6,829d34
Indonesia,Large,124430,0.65753526,2,829d34
Bolivia,Large,71122,0.650764022,5,8fa538
Mongolia,Large,100833,0.644695788,3,8fa538
Seychelles,Small,27,0.64,5,8fa538
Peru,Large,82214,0.633375192,3,8fa538
Namibia,Large,52242,0.631957129,6,8fa538
Saint Kitts & Nevis,Small,17,0.63,1,8fa538
Laos,Medium,13768,0.600331386,3,9bae3b
Luxembourg,Small,155,0.593869732,7,9bae3b
Taiwan,Medium,2149,0.591034103,3,9bae3b
Sri Lanka,Medium,3884,0.582134293,5,9bae3b
Japan,Large,21383,0.571478205,5,9bae3b
Croatia,Medium,3111,0.564814815,7,9bae3b
Austria,Medium,4728,0.563259471,5,9bae3b
Paraguay,Large,22560,0.561529271,3,9bae3b
Guatemala,Medium,6143,0.561312135,4,9bae3b
The Bahamas,Medium,710,0.56,7,9bae3b
Samoa,Small,156,0.56,1,9bae3b
